ipa,vowel_or_consonant,voiced_or_unvoiced,word,underlines,id
i,vowel,voiced,sheep,"2,3",1
ɪ,vowel,voiced,ship,"1,2",2
ʊ,vowel,voiced,good,"1,2",3
u,vowel,voiced,shoot,"2,3",4
ɪə,vowel,voiced,here,"1,2,3",5
eɪ,vowel,voiced,wait,"1,2",6
e,vowel,voiced,bed,1,7
ə,vowel,voiced,teacher,"5,6",8
ɜ,vowel,voiced,bird,1,9
ɔ,vowel,voiced,door,"1,2",10
ʊə,vowel,voiced,tourist,"1,2",11
ɔɪ,vowel,voiced,boy,1,12
əʊ,vowel,voiced,show,"2,3",13
æ,vowel,voiced,cat,1,14
ʌ,vowel,voiced,up,0,15
ɑ,vowel,voiced,far,1,16
ɒ,vowel,voiced,on,0,17
eə,vowel,voiced,hair,"1,2",18
aɪ,vowel,voiced,my,1,19
aʊ,vowel,voiced,cow,1,20
p,consonant,unvoiced,pea,0,21
b,consonant,voiced,boat,0,22
t,consonant,unvoiced,tea,0,23
d,consonant,voiced,dog,0,24
tʃ,consonant,unvoiced,cheese,"0,1",25
dʒ,consonant,voiced,June,0,26
k,consonant,unvoiced,car,0,27
g,consonant,voiced,go,0,28
f,consonant,unvoiced,fly,0,29
v,consonant,voiced,video,0,30
θ,consonant,unvoiced,think,"0,1",31
ð,consonant,voiced,this,"0,1",32
s,consonant,unvoiced,see,0,33
z,consonant,voiced,zoo,0,34
ʃ,consonant,unvoiced,shall,"0,1",35
ʒ,consonant,voiced,television,6,36
m,consonant,voiced,man,0,37
n,consonant,voiced,now,0,38
"
ŋ",consonant,voiced,sing,"2,3",39
h,consonant,unvoiced,hat,0,40
l,consonant,voiced,love,0,41
r,consonant,voiced,red,0,42
w,consonant,voiced,wet,0,43
j,consonant,vocied,yes,0,44
